,Feature importances
accident_count,0.6254680880162686
temp,0.048932789505415034
dayofyear_cos,0.03842626998031618
hour_cos,0.03781199588289509
visibility,0.030949456978634046
street_length,0.028448996090334203
solar_elevation,0.027450808227670428
dayofyear_sin,0.027132608692891268
street_level_indexed,0.024052119176560922
hour_sin,0.020162066488980578
loc_long,0.019679159549561887
rel_hum,0.019300647935605635
risky_weather,0.0139920721708356
stn_press,0.012997572417887661
loc_lat,0.010666044352657143
dayofweek,0.010562206807420883
street_type_indexed,0.003967097726064825
